bt,km,transmission,ownerNo,model,modelYear,centralVariantId,variantName,insurance_validity,fuel_type,seats,feature,mileage,max_power,torque,engine_Color,engine_Engine Type,engine_Displacement,engine_No of Cylinder,engine_Values per Cylinder,dimension_Length,dimension_Width,dimension_Height,dimension_Wheel Base,dimension_Kerb Weight,misc_Gear Box,misc_Steering Type,misc_Front Brake Type,misc_Rear Brake Type,misc_Tyre Type,misc_No Door Numbers,city,price
Hatchback,120000,Manual,3,Maruti Celerio,2015,3979,VXI,Third Party insurance,Petrol,5,35,23.1,67.04,90.0,White,K10B Engine,998,3.0,4.0,3715,1635,1565,2425,835,5 Speed ,Power,Ventilated Disc,Drum,"Tubeless, Radial",5,bangalore_cars,400000.0
SUV,32706,Manual,2,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,Comprehensive,Petrol,5,77,17.0,121.31,150.0,White,Ti-VCT Petrol Engine,1497,3.0,4.0,3998,1765,1647,2519,1242,5 Speed,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,bangalore_cars,811000.0
Hatchback,11949,Manual,1,Tata Tiago,2018,2983,1.2 Revotron XZ,Comprehensive,Petrol,5,71,23.84,84.0,114.0,Red,Revotron Engine,1199,3.0,4.0,3746,1647,1535,2400,1012,5 Speed,Power,Disc,Drum,Tubeless,5,bangalore_cars,585000.0
Sedan,17794,Manual,1,Hyundai Xcent,2014,1867,1.2 Kappa S Option,Comprehensive,Petrol,5,61,19.1,81.86,113.75,Others,Kappa VTVT Petrol Engine,1197,4.0,4.0,3995,1660,1520,2425,1180,5 Speed ,Power,Disc ,Drum,"Tubeless,Radial",4,bangalore_cars,462000.0
SUV,60000,Manual,1,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,Third Party insurance,Diesel,5,75,23.65,88.5,200.0,Gray,DDiS 200 Diesel Engine,1248,4.0,4.0,4300,1785,1595,2600,1230,5 Speed,Power,Ventilated Disc,Solid Disc,"Tubeless,Radial",5,bangalore_cars,790000.0
SUV,20000,Manual,1,Jeep Compass,2020,5931,2.0 Longitude BSIV,Third Party insurance,Diesel,5,68,17.1,170.0,350.0,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,4.0,4.0,4395,1818,1640,2636,1551,6 Speed,power,Disc,Discs,"Radial, Tubless",5,bangalore_cars,1900000.0
Hatchback,37772,Manual,1,Datsun GO,2017,5223,T Option BSIV,Comprehensive,Petrol,5,46,20.63,67.0,104.0,Grey,Petrol Engine,1198,3.0,4.0,3785,1635,1490,2450,1070,5 Speed,Power, Disc,Drum,Tubeless,5,bangalore_cars,345000.0
Sedan,37000,Automatic,1,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,Comprehensive,Petrol,5,81,20.28,103.25,138.0,Maroon,k15B VVT Engine,1462,4.0,4.0,4490,1730,1485,2650,1105,4 Speed,Power,Ventilated Disc,Drum,"Tubeless, Radial",4,bangalore_cars,960000.0
Hatchback,11949,Manual,1,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,Comprehensive,Petrol,5,70,23.84,84.0,114.0,Red,Revotron Engine,1199,3.0,4.0,3746,1647,1535,2400,1012,5 Speed,Power,Disc,Drum,Tubeless,5,bangalore_cars,585000.0
Hatchback,50000,Manual,1,Maruti Baleno,2018,3962,1.2 Delta,Third Party insurance,Petrol,5,65,21.4,83.1,115.0,Red,VVT Petrol Engine,1197,4.0,4.0,3995,1745,1510,2520,870,5 Speed,Power,Disc,Drum,"Tubeless,Radial",5,bangalore_cars,690000.0
Hatchback,24887,Automatic,1,Hyundai Grand i10,2019,5606,1.2 Kappa Sportz Option AT,Third Party insurance,Petrol,5,66,18.9,81.86,113.75,Orange,Kappa VTVT Petrol Engine,1197,4.0,4.0,3765,1660,1520,2425,1200,4 Speed,Power,Disc,Drum,Tubeless,5,bangalore_cars,682000.0
Hatchback,23000,Automatic,1,Honda Jazz,2018,6506,VX CVT,Comprehensive,Petrol,5,81,18.2,88.7,110.0,Grey,i-VTEC Petrol Engine,1199,4.0,4.0,3955,1694,1544,2530,1066,5 Speed,Power,Disc,Drum,"Tubeless,Radial",5,bangalore_cars,825000.0
Hatchback,48928,Automatic,1,Tata Tiago,2018,5653,1.2 Revotron XZA,Comprehensive,Petrol,5,73,23.84,83.83,114.0,Red,Revotron Engine,1199,3.0,4.0,3746,1647,1535,2400,1012,5 Speed,Power,Disc,Drum,Tubeless,5,bangalore_cars,595000.0
SUV,108862,Manual,3,Mahindra XUV500,2014,3822,W6 2WD,Comprehensive,Diesel,7,62,15.1,140.0,330.0,Silver,mHawk Diesel Engine,2179,4.0,4.0,4585,1890,1785,2700,1900,6 Speed ,Power,Disc & Caliper Type,Disc & Caliper Type,"Tubeless,Radial ",5,bangalore_cars,690000.0
SUV,80000,Manual,1,Jeep Compass,2018,5929,2.0 Limited,Third Party insurance,Diesel,5,72,17.1,170.0,350.0,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,4.0,4.0,4395,1818,1640,2636,1562,6 Speed,Power,Disc,Discs,"Radial, Tubless",5,bangalore_cars,1350000.0
